UserName,Date,Start rating,Review or Comment,Link
하겐다즈,2019-10-21T14:31:45.000Z,none,Please dont turn into a gadget review channel,Nil
Jaime Gonzales,2019-10-21T14:31:41.000Z,none,"9:52 I have personally reviewed none of them, and so far found that the feature set is worth the $1000 savings you mentioned.",Nil
Naveen bl,2019-10-21T14:30:17.000Z,none,1000$ saved in cash + my lost 10 min and 6 seconds,Nil
muzaffar syam,2019-10-21T14:30:02.000Z,none,"wow Two Steps From Hell - Victory.. i love Ost from Two Steps From Hell XD 
especially casandra",Nil
하겐다즈,2019-10-21T14:30:00.000Z,none,Pixel4!,Nil
R10freestyle,2019-10-21T14:29:54.000Z,none,"Ex-google, Ex-Facebook and Ex-Husband tech lead!",Nil
Ja'U Fired MEH,2019-10-21T14:29:39.000Z,none,"Hah! I prefer a Samsung Galaxy Note 10. At this time Google seems to be making their competition Apple and that's very bad. It's not jist uour video why I say this. But a lot of little cooksead up to my reason.  Google needs to focus in the real competition and nust let Apple keep doing it's own thing. Let's face it those phones are never going to be as great without Asian competitors. Now that Nokia has been crippled by Microsoft our Asian companies are on the top. For example Huawei has done so well our government has accused the company of spying on the USA when in actuality it's the USA government that tells our American tech companies to release transcripts on everyone using their products (spying). Samsung and Huawei have the best technology and these American companies only try to compete with camera's and small gimmicks. Why would I use a touchless swipe feature when I have a watch linked to my phone? I'll just use the watch (Galaxy Bitches) or even my wireless headset which also has a touch pad built into it #AnkerSoundCoreLibertyAir lol. The reality is unless you can completely talk toit and say turn off alarm you're going to grab your phone, and if theh doesn't want you to grab your phone then why make it a smartphone with a screen? I had this housephome back in 2001 that answered when I told it to and hung up when I told it to and here we are not with smartphones and this still doesn't exist thanks Microsoft who decided to ditch the surface and put the technology in a fucking gaming camera called kinect. The damn company purchased Nokia and never thought to add the surface feature to it, so stupid.",Nil
Black Vito - Moneyology,2019-10-21T14:28:31.000Z,none,Interesting stuff!💪,Nil
Lelouch Alaster,2019-10-21T14:28:22.000Z,none,"Hey, pls become tech lead in Amazon, Apple and Samsung plssssss",Nil
Joshua Nghiem,2019-10-21T14:27:51.000Z,none,I fully support you if you decide to do tech reviews.,Nil
Neil Killilea,2019-10-21T14:26:21.000Z,none,Haha,Nil
Insipidityy,2019-10-21T14:25:29.000Z,none,"Watch out, MKBHD.",Nil
fromia1,2019-10-21T14:25:10.000Z,none,I would actually love if you started to review DSLR cameras.,Nil
Jahil Khalfe,2019-10-21T14:25:02.000Z,none,I still use my Galaxy Note 3.,Nil
Jozhe,2019-10-21T14:24:28.000Z,none,"Call me cheap, but will just take that cash and bug friends to send me nice pictures",Nil
Сергей Безфамильный,2019-10-21T14:24:27.000Z,none,кто смотрит этого клоуна?,Nil
tsun dud3,2019-10-21T14:24:04.000Z,none,"Thank god he didn't troll saying ""hey google"" even this friggin ad from google does that shit",Nil
vincentnnyc,2019-10-21T14:23:53.000Z,none,U got some free swags from google didn’t u tead lead?,Nil
Tuan Vu Anh,2019-10-21T14:23:23.000Z,none,techlead move to reviewer :V,Nil
Diana Bejan,2019-10-21T14:23:13.000Z,none,Ex apple tech lead when?,Nil
